Title,Page ID,URL,State,City,County,Extracted State,School Type,Direct Parent Category
"A. H. Parker High School",18910215,"https://en.wikipedia.org/wiki/A._H._Parker_High_School","Alabama","Birmingham, Alabama","","Alabama","public","Public high schools in Alabama"
"Abbeville Christian Academy",21924544,"https://en.wikipedia.org/wiki/Abbeville_Christian_Academy","Alabama","Abbeville, Alabama","Henry County","Alabama","private","Private K–12 schools in Alabama"
"Alabama Christian Academy",26820196,"https://en.wikipedia.org/wiki/Alabama_Christian_Academy","Alabama","Montgomery, Alabama","","Alabama","private","Private high schools in Alabama"
"Alabama Institute for the Deaf and Blind",31231018,"https://en.wikipedia.org/wiki/Alabama_Institute_for_the_Deaf_and_Blind","Alabama","Talladega, Alabama","","Alabama","public","Public K–12 schools in Alabama"
"Alabama School of Cyber Technology and Engineering",70143408,"https://en.wikipedia.org/wiki/Alabama_School_of_Cyber_Technology_and_Engineering","Alabama","Huntsville, Alabama","","Alabama","unknown","High schools in Huntsville, Alabama"
"Alabama School of Fine Arts",2112166,"https://en.wikipedia.org/wiki/Alabama_School_of_Fine_Arts","Alabama","Birmingham, Alabama","","Alabama","public","Public high schools in Alabama"
"Alabama School of Mathematics and Science",633666,"https://en.wikipedia.org/wiki/Alabama_School_of_Mathematics_and_Science","Alabama","Mobile, Alabama","","Alabama","public","Public high schools in Alabama"
"Albert P. Brewer High School",5413953,"https://en.wikipedia.org/wiki/Albert_P._Brewer_High_School","Alabama","Somerville, Alabama","Morgan County, Alabama","Alabama","public","Public high schools in Alabama"
"Albertville High School",25884804,"https://en.wikipedia.org/wiki/Albertville_High_School","Alabama","Albertville, Alabama","","Alabama","public","Public high schools in Alabama"
"Alexandria High School (Alabama)",11322773,"https://en.wikipedia.org/wiki/Alexandria_High_School_(Alabama)","Alabama","Alexandria, Alabama","","Alabama","public","Public high schools in Alabama"
"Aliceville Elementary and High School",39548925,"https://en.wikipedia.org/wiki/Aliceville_Elementary_and_High_School","Alabama","420 3rd Ave.","Pickens County","Alabama","public","Schools in Pickens County, Alabama"
"Alma Bryant High School",24973508,"https://en.wikipedia.org/wiki/Alma_Bryant_High_School","Alabama","Irvington, Alabama","Mobile County","Alabama","public","High schools in Mobile County, Alabama"
"Altamont School",1620504,"https://en.wikipedia.org/wiki/Altamont_School","Alabama","Birmingham, Alabama","","Alabama","unknown","High schools in Birmingham, Alabama"
"American Christian Academy (Alabama)",18673036,"https://en.wikipedia.org/wiki/American_Christian_Academy_(Alabama)","Alabama","Tuscaloosa, Alabama","","Alabama","unknown","High schools in Tuscaloosa, Alabama"
"Andalusia High School",24006241,"https://en.wikipedia.org/wiki/Andalusia_High_School","Alabama","Andalusia, Alabama","","Alabama","public","Public high schools in Alabama"
"Anniston Normal and Industrial School",77262472,"https://en.wikipedia.org/wiki/Anniston_Normal_and_Industrial_School","Alabama","323 Walnut Avenue","","United States","unknown","Historically segregated African-American schools in Alabama"
"Arab High School",51229255,"https://en.wikipedia.org/wiki/Arab_High_School","Alabama","","","Alabama","public","Public high schools in Alabama"
