title,url,pageid,source_category,instance_of,wikidata_qid,founded,dissolved,validation
Calhoun County Schools (Alabama),https://en.wikipedia.org/wiki/Calhoun_County_Schools_(Alabama),38579872,Schools in the United States,school district,Q5019774,,,out_of_scope
Charter schools in the United States,https://en.wikipedia.org/wiki/Charter_schools_in_the_United_States,331693,Schools in the United States,aspect in a geographic region,Q1067825,,,non_school
Clinton Liberal Institute,https://en.wikipedia.org/wiki/Clinton_Liberal_Institute,54737615,Schools in the United States,school,Q43079959,1831,1900,defunct
Expeditionary learning schools,https://en.wikipedia.org/wiki/Expeditionary_learning_schools,24267175,Schools in the United States,,Q5420983,,,unverified
Full-service community schools in the United States,https://en.wikipedia.org/wiki/Full-service_community_schools_in_the_United_States,34066633,Schools in the United States,aspect in a geographic region,Q5507960,,,non_school
Headlands Preparatory School,https://en.wikipedia.org/wiki/Headlands_Preparatory_School,78204136,Schools in the United States,school,Q130644826,,,school
Huntsville Female College,https://en.wikipedia.org/wiki/Huntsville_Female_College,72819146,Schools in the United States,,Q124936396,,,unverified
Illinois State University College of Arts and Sciences,https://en.wikipedia.org/wiki/Illinois_State_University_College_of_Arts_and_Sciences,82595999,Schools in the United States,,Q139962260,,,unverified
Kansas Industrial School for Girls,https://en.wikipedia.org/wiki/Kansas_Industrial_School_for_Girls,72070037,Schools in the United States,university,Q115823630,,,out_of_scope
National School Choice Week,https://en.wikipedia.org/wiki/National_School_Choice_Week,41842649,Schools in the United States,thematic week,Q17125817,2011,,non_school
Nihon Go Gakko (Seattle),https://en.wikipedia.org/wiki/Nihon_Go_Gakko_(Seattle),47986933,Schools in the United States,school building,Q21070919,,,school
The Palmdale Aerospace Academy,https://en.wikipedia.org/wiki/The_Palmdale_Aerospace_Academy,41918030,Schools in the United States,school,Q17107585,2012,,school
Russian Math Tutors,https://en.wikipedia.org/wiki/Russian_Math_Tutors,82788956,Schools in the United States,school,Q139074035,,,school
St. Mary's Mission boarding school,https://en.wikipedia.org/wiki/St._Mary's_Mission_boarding_school,82265322,Schools in the United States,,Q138298849,,,unverified
High school in the United States,https://en.wikipedia.org/wiki/High_school_in_the_United_States,54987918,High schools in the United States,,Q121116229,,,unverified
NAF (non-profit organization),https://en.wikipedia.org/wiki/NAF_(non-profit_organization),2108379,High schools in the United States,business,Q6970109,1982,,non_school
Career and technical education,https://en.wikipedia.org/wiki/Career_and_technical_education,10940898,High schools in the United States,,Q131378444,,,unverified
Christchurch School,https://en.wikipedia.org/wiki/Christchurch_School,3313651,High schools in the United States,school,Q5109092,1921,,school
Christian Heritage School (Connecticut),https://en.wikipedia.org/wiki/Christian_Heritage_School_(Connecticut),4714440,High schools in the United States,school,Q5109713,1977,,school
CICS Northtown Academy,https://en.wikipedia.org/wiki/CICS_Northtown_Academy,21380127,High schools in the United States,high school,Q5011596,2002,,school
Cono Christian School,https://en.wikipedia.org/wiki/Cono_Christian_School,4696774,High schools in the United States,school,Q5162092,1951,,school
Create Charter High School,https://en.wikipedia.org/wiki/Create_Charter_High_School,12269980,High schools in the United States,charter high school,Q5183428,2001,,school
Creston High School (Michigan),https://en.wikipedia.org/wiki/Creston_High_School_(Michigan),13988060,High schools in the United States,high school,Q5184614,1923,,school
Eminence High School,https://en.wikipedia.org/wiki/Eminence_High_School,76238367,High schools in the United States,Wikimedia disambiguation page,Q124726817,,,non_school
High School Survey of Student Engagement,https://en.wikipedia.org/wiki/High_School_Survey_of_Student_Engagement,26299397,High schools in the United States,high school,Q5756569,,,school
National Association of Secondary School Principals,https://en.wikipedia.org/wiki/National_Association_of_Secondary_School_Principals,13176486,High schools in the United States,organization,Q6970757,1916,,non_school
Secondary education in the United States,https://en.wikipedia.org/wiki/Secondary_education_in_the_United_States,378405,High schools in the United States,secondary education in country or region,Q3054793,,,non_school
Conant Report,https://en.wikipedia.org/wiki/Conant_Report,68660180,Secondary schools in the United States,book,Q108431028,,,non_school
Santa Barbara Junior High School,https://en.wikipedia.org/wiki/Santa_Barbara_Junior_High_School,7638979,Middle schools in the United States,school,Q133748050,,,school
Country Day School movement,https://en.wikipedia.org/wiki/Country_Day_School_movement,1616928,Private schools in the United States,,Q2998896,,,unverified
Crow Creek Tribal School,https://en.wikipedia.org/wiki/Crow_Creek_Tribal_School,68357688,Private schools in the United States,,Q108084046,,,unverified
Independent Schools Association of the Southwest,https://en.wikipedia.org/wiki/Independent_Schools_Association_of_the_Southwest,51223105,Private schools in the United States,organization,Q26258642,,,non_school
Saint Grottlesex,https://en.wikipedia.org/wiki/Saint_Grottlesex,2962603,Private schools in the United States,group,Q1564565,,,non_school
Spring Education Group,https://en.wikipedia.org/wiki/Spring_Education_Group,63438222,Private schools in the United States,enterprise,Q96406218,,,non_school
"Fertilizers, Pills & Magnetic Strips","https://en.wikipedia.org/wiki/Fertilizers,_Pills_&_Magnetic_Strips",15885005,Public schools in the United States,literary work,Q5445592,,,non_school
Concept Schools,https://en.wikipedia.org/wiki/Concept_Schools,7188421,Charter schools in the United States,organization,Q5158388,,,non_school
Crescent City Schools,https://en.wikipedia.org/wiki/Crescent_City_Schools,39766175,Charter schools in the United States,organization,Q16952647,,,non_school
Educate Now,https://en.wikipedia.org/wiki/Educate_Now,27821200,Charter schools in the United States,,Q5340836,,,unverified
Federal Charter School Program,https://en.wikipedia.org/wiki/Federal_Charter_School_Program,33586484,Charter schools in the United States,,Q5440055,,,unverified
GEO Academies,https://en.wikipedia.org/wiki/GEO_Academies,8406018,Charter schools in the United States,,Q5513194,,,unverified
Graham Elementary and Middle School,https://en.wikipedia.org/wiki/Graham_Elementary_and_Middle_School,8714368,Charter schools in the United States,secondary school|charter school,Q6024017,,,school
Horizon Science Academy Columbus High School,https://en.wikipedia.org/wiki/Horizon_Science_Academy_Columbus_High_School,52569792,Charter schools in the United States,high school|public school,Q28230610,,,school
KIPP,https://en.wikipedia.org/wiki/KIPP,2406984,Charter schools in the United States,charter management organization|501(c)(3) organization,Q6423304,2000,,non_school
Language/culture-based charter school,https://en.wikipedia.org/wiki/Language/culture-based_charter_school,21163071,Charter schools in the United States,,Q6486625,,,unverified
Mater Academy,https://en.wikipedia.org/wiki/Mater_Academy,34507403,Charter schools in the United States,,Q17020629,,,unverified
Milburn Schools,https://en.wikipedia.org/wiki/Milburn_Schools,32436139,Charter schools in the United States,,Q6850857,,,unverified
Mosaica Education,https://en.wikipedia.org/wiki/Mosaica_Education,32795063,Charter schools in the United States,business,Q13408402,1997,,non_school
National Heritage Academies,https://en.wikipedia.org/wiki/National_Heritage_Academies,27145838,Charter schools in the United States,education company|commercial organization,Q6973040,,,non_school
Peltier v. Charter Day School,https://en.wikipedia.org/wiki/Peltier_v._Charter_Day_School,81708619,Charter schools in the United States,legal case,Q137369928,,,non_school
SEED Foundation,https://en.wikipedia.org/wiki/SEED_Foundation,28637141,Charter schools in the United States,nonprofit organization,Q7389651,1997,,non_school
Somerset Academy Inc.,https://en.wikipedia.org/wiki/Somerset_Academy_Inc.,56435703,Charter schools in the United States,organization,Q48977499,,,non_school
Success Academy Charter Schools,https://en.wikipedia.org/wiki/Success_Academy_Charter_Schools,39469864,Charter schools in the United States,charter school agency|charter management organization|501(c)(3) organization,Q14707388,2006,,school
Success and Opportunity through Quality Charter Schools Act,https://en.wikipedia.org/wiki/Success_and_Opportunity_through_Quality_Charter_Schools_Act,42690196,Charter schools in the United States,bill,Q16933374,,,non_school
Uncommon Schools,https://en.wikipedia.org/wiki/Uncommon_Schools,13810310,Charter schools in the United States,nonprofit organization,Q7882874,,,non_school
University Charter School,https://en.wikipedia.org/wiki/University_Charter_School,59668459,Charter schools in the United States,,Q60771589,,,unverified
University Preparatory Academy,https://en.wikipedia.org/wiki/University_Preparatory_Academy,15890631,Charter schools in the United States,high school|public school,Q7894884,2007,,school
"Central Campus (Des Moines, Iowa)","https://en.wikipedia.org/wiki/Central_Campus_(Des_Moines,_Iowa)",74787462,Magnet schools in the United States,school,Q122790714,,,school
Classical High School,https://en.wikipedia.org/wiki/Classical_High_School,2600421,Magnet schools in the United States,high school,Q5128282,1843,,school
