title,url,pageid,state,level,description,instance_of,founded,website,school_district,nces_id,postal_code,wikidata_qid,lat,lon,pageviews_60d,thumbnail,source_category
Aaron School,https://en.wikipedia.org/wiki/Aaron_School,42076695,,high,"Private school in New York, New York, United States",school,,http://aaronschool.org/,,,,Q4661798,40.7448,-73.9837,627,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Aaron_School_42_E30_St_-_2013-08-10_jeh.jpg/330px-Aaron_School_42_E30_St_-_2013-08-10_jeh.jpg,Jewish schools in the United States
Academy for Excellence in Leadership,https://en.wikipedia.org/wiki/Academy_for_Excellence_in_Leadership,18546369,,high,Public school in New York City,high school,2006,http://www.aelnyc.org,,360009705866,,Q4671398,40.6967,-73.911,87,,Public high schools in Brooklyn
Academy of Arts & Sciences (San Francisco),https://en.wikipedia.org/wiki/Academy_of_Arts_&_Sciences_(San_Francisco),54344177,,high,Public high school,high school,,https://aas-sfusd-ca.schoolloop.com/sfusd,San Francisco Unified School District,063441012526,,Q30668394,37.745044,-122.449582,289,,High schools in San Francisco
Academy of Urban Planning,https://en.wikipedia.org/wiki/Academy_of_Urban_Planning,21683368,,high,Public school in New York City,high school,2003,http://schools.nyc.gov/schoolportals/32/k552/default.htm,,360009705552,,Q4671540,40.69694444,-73.91194444,147,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Bushwick_High_AUP_jeh.JPG/330px-Bushwick_High_AUP_jeh.JPG,Public high schools in Brooklyn
All Saints Cathedral School,https://en.wikipedia.org/wiki/All_Saints_Cathedral_School,18583451,,,"College preparatory school in St. Thomas, United States Virgin Islands, United States",school,1928,http://www.allsaintsvi.org,St. Thomas-St. John School District,,,Q4729406,18.3449,-64.9314,118,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/All_Saints_Cathedral_School_-_St._Thomas%2C_U.S._Virgin_Islands.JPG/330px-All_Saints_Cathedral_School_-_St._Thomas%2C_U.S._Virgin_Islands.JPG,Schools in the United States Virgin Islands
Arabic Immersion Magnet School,https://en.wikipedia.org/wiki/Arabic_Immersion_Magnet_School,47677082,,elementary,"School in Houston, Texas",school,,,,,,Q21015913,29.8116,-95.4129,239,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Arabic_Immersion_Magnet_School_A.jpg/330px-Arabic_Immersion_Magnet_School_A.jpg,Bilingual schools in Houston
Association House High School,https://en.wikipedia.org/wiki/Association_House_High_School,49632201,,high,,high school,,,,,,Q24693439,41.9016,-87.7072,88,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Association_House_High_School.jpg/330px-Association_House_High_School.jpg,Public high schools in Chicago
Astra Nova School,https://en.wikipedia.org/wiki/Astra_Nova_School,75146454,,,Private online school,school,2014,https://www.astranova.org/,,,,Q123376376,,,6897,,Online schools in the United States
Baker Montessori School,https://en.wikipedia.org/wiki/Baker_Montessori_School,53445182,,middle,School in Houston,Montessori school,,https://www.houstonisd.org/baker,,,,Q29097719,29.7477,-95.399,0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Baker_K-8_Montessori.jpg/330px-Baker_K-8_Montessori.jpg,Montessori schools in the United States
Benjamin Banneker Academy,https://en.wikipedia.org/wiki/Benjamin_Banneker_Academy,2032639,,high,Public school in New York City,high school,1987,http://schools.nyc.gov/schoolportals/13/k670/default.htm,,360009102315,11205,Q4888240,40.6955,-73.969,0,,Public high schools in Brooklyn
Blue School,https://en.wikipedia.org/wiki/Blue_School,29473655,,elementary,"Former independent school in New York City, US",school,2006,http://www.theblueschool.org/,,,,Q4929822,40.70791,-74.002567,306,,Private elementary schools in Manhattan
Boys and Girls High School,https://en.wikipedia.org/wiki/Boys_and_Girls_High_School,24428056,,high,Public school in New York City,high school,1975,http://schools.nyc.gov/SchoolPortals/16/K455/default.htm,,360009401921,11213,Q4952707,40.679,-73.9315,0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Boys_and_Girls_High_School%2C_Brooklyn%2C_New_York%2C_US.jpg/330px-Boys_and_Girls_High_School%2C_Brooklyn%2C_New_York%2C_US.jpg,Public high schools in Brooklyn
Bronx Theatre High School,https://en.wikipedia.org/wiki/Bronx_Theatre_High_School,5356668,,high,Public school in New York City,high school,,,,360008705496,,Q4974209,40.8775,-73.91361111,0,,Public high schools in the Bronx
Brooklyn Preparatory High School,https://en.wikipedia.org/wiki/Brooklyn_Preparatory_High_School,47997178,,high,Public school in New York City,high school,,,,360011905699,,Q22329562,40.7154,-73.955,0,,Public high schools in Brooklyn
Brooklyn School of Inquiry,https://en.wikipedia.org/wiki/Brooklyn_School_of_Inquiry,24429802,,middle,School,school,2009,http://www.bsi686.org,,,,Q4974893,40.607,-73.9867,0,,Public middle schools in Brooklyn
Bryan Adams High School,https://en.wikipedia.org/wiki/Bryan_Adams_High_School,10891232,,high,"Public, secondary school in Dallas, Texas, United States",high school,1957,http://www.dallasisd.org/schools/hs/badams/,Dallas Independent School District,481623001205,75228,Q4979933,32.827103,-96.680125,0,https://upload.wikimedia.org/wikipedia/commons/b/b5/Bryan_Adams_HS.jpg,Public high schools in Dallas
Caney Creek High School,https://en.wikipedia.org/wiki/Caney_Creek_High_School,5061675,,high,"Public school in Conroe, Texas, United States",high school,1997,http://twhs.conroeisd.net/,Conroe Independent School District,481500007401,77306,Q5032289,30.2549,-95.3132,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Caney_Creek_High_School.jpg/330px-Caney_Creek_High_School.jpg,Conroe Independent School District high schools
Charlotte Amalie High School,https://en.wikipedia.org/wiki/Charlotte_Amalie_High_School,12914831,,high,"Public school in St. Thomas, U.S. Virgin Islands",high school,1920,,,780003000005,,Q5085827,18.3418,-64.9197,0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Charlotte_Amalie_High_School.jpg/330px-Charlotte_Amalie_High_School.jpg,High schools in the United States Virgin Islands
Chicago Public Schools boycott,https://en.wikipedia.org/wiki/Chicago_Public_Schools_boycott,54415558,,,"1963 anti-segregation protest in Chicago, Illinois, US",school,,,,,,Q39086190,,,283,,Chicago Public Schools
Christopher Columbus High School (Bronx),https://en.wikipedia.org/wiki/Christopher_Columbus_High_School_(Bronx),7443513,,high,Public school in New York City,high school,,http://www.columbushs.org,,,,Q5112142,,,0,,Public high schools in the Bronx
Clapham College,https://en.wikipedia.org/wiki/Clapham_College,7893010,,elementary,"Secondary school in Greater London, England",grammar school,1897,,,,,Q5125863,51.4519,-0.1496,209,,Schools sponsored by the Xaverian Brothers
Clara Barton High School,https://en.wikipedia.org/wiki/Clara_Barton_High_School,15909144,,high,Public school in New York City,high school,,https://www.clarabartonhs.org/,New York City Geographic District 17,360009501937,,Q5125940,40.67005556,-73.96152778,0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Clara_Barton_High_School%2C_Brooklyn.jpg/330px-Clara_Barton_High_School%2C_Brooklyn.jpg,Public high schools in Brooklyn
Clown Conservatory,https://en.wikipedia.org/wiki/Clown_Conservatory,3449188,,,"Clownery and comedy institution, San Francisco",performing arts school,,,,,,Q5136025,37.76583333,-122.45694444,0,,Schools in San Francisco
Colegio Bolivar,https://en.wikipedia.org/wiki/Colegio_Bolivar,50678570,,,"Private school in Cali, Colombia",school,1947,http://www.colegiobolivar.edu.co/website/,,,,Q24263759,,,0,,Schools accredited by Cognia
CompuHigh,https://en.wikipedia.org/wiki/CompuHigh,36255473,,high,Online high school,high school,,,,,,Q5157208,,,0,,Online schools in the United States
Cristo Rey Network,https://en.wikipedia.org/wiki/Cristo_Rey_Network,11855865,,,"Education organization in Chicago, Illinois, US",educational institution,2000,https://www.cristoreynetwork.org/,,,,Q5186451,,,0,,Catholic schools in the United States
