wiki_title,wiki_pageid,wiki_url,wiki_state,wiki_level,wiki_wikidata_qid,wiki_nces_id,match_method,match_score,nces_school_id,nces_school_name,nces_sector,nces_state,nces_city,nces_low_grade,nces_high_grade
Academy for Excellence in Leadership,18546369,https://en.wikipedia.org/wiki/Academy_for_Excellence_in_Leadership,,high,Q4671398,360009705866,nces_id,100.0,360009705866,ACADEMY FOR EXCELLENCE IN LEADERSHIP,public,NY,brooklyn,09,12
Academy of Arts & Sciences (San Francisco),54344177,https://en.wikipedia.org/wiki/Academy_of_Arts_&_Sciences_(San_Francisco),,high,Q30668394,063441012526,nces_id,100.0,063441012526,Academy (The)- SF @McAteer,public,CA,san francisco,09,12
Academy of Urban Planning,21683368,https://en.wikipedia.org/wiki/Academy_of_Urban_Planning,,high,Q4671540,360009705552,nces_id,100.0,360009705552,ACADEMY OF URBAN PLANNING AND ENGINEERING (THE),public,NY,brooklyn,09,12
Benjamin Banneker Academy,2032639,https://en.wikipedia.org/wiki/Benjamin_Banneker_Academy,,high,Q4888240,360009102315,nces_id,100.0,360009102315,BENJAMIN BANNEKER ACADEMY,public,NY,brooklyn,09,12
Boys and Girls High School,24428056,https://en.wikipedia.org/wiki/Boys_and_Girls_High_School,,high,Q4952707,360009401921,nces_id,100.0,360009401921,BOYS AND GIRLS HIGH SCHOOL,public,NY,brooklyn,09,12
Bronx Theatre High School,5356668,https://en.wikipedia.org/wiki/Bronx_Theatre_High_School,,high,Q4974209,360008705496,nces_id,100.0,360008705496,BRONX THEATRE HIGH SCHOOL,public,NY,bronx,09,12
Brooklyn Preparatory High School,47997178,https://en.wikipedia.org/wiki/Brooklyn_Preparatory_High_School,,high,Q22329562,360011905699,nces_id,100.0,360011905699,BROOKLYN PREPARATORY HIGH SCHOOL,public,NY,brooklyn,09,12
Bryan Adams High School,10891232,https://en.wikipedia.org/wiki/Bryan_Adams_High_School,,high,Q4979933,481623001205,nces_id,100.0,481623001205,BRYAN ADAMS H S LEADERSHIP ACADEMY,public,TX,dallas,09,12
Caney Creek High School,5061675,https://en.wikipedia.org/wiki/Caney_Creek_High_School,,high,Q5032289,481500007401,nces_id,100.0,481500007401,CANEY CREEK H S,public,TX,conroe,09,12
Charlotte Amalie High School,12914831,https://en.wikipedia.org/wiki/Charlotte_Amalie_High_School,,high,Q5085827,780003000005,nces_id,100.0,780003000005,Charlotte Amalie High School,public,VI,saint thomas,09,12
Clara Barton High School,15909144,https://en.wikipedia.org/wiki/Clara_Barton_High_School,,high,Q5125940,360009501937,nces_id,100.0,360009501937,CLARA BARTON HIGH SCHOOL,public,NY,brooklyn,09,12
Dr. Rita Hocog Inos Jr./Sr. High School,56302463,https://en.wikipedia.org/wiki/Dr._Rita_Hocog_Inos_Jr./Sr._High_School,,high,Q48851142,690000200060,nces_id,100.0,690000200060,DR. RITA HOCOG INOS JUNIOR/SENIOR HIGH SCHOOL,public,MP,rota,07,12
East Early College High School,14269102,https://en.wikipedia.org/wiki/East_Early_College_High_School,,high,Q5328266,482364011262,nces_id,100.0,482364011262,EAST EARLY COLLEGE H S,public,TX,houston,09,12
