title,url,pageid,source_category
Calhoun County Schools (Alabama),https://en.wikipedia.org/wiki/Calhoun_County_Schools_(Alabama),38579872,Schools in the United States
Charter schools in the United States,https://en.wikipedia.org/wiki/Charter_schools_in_the_United_States,331693,Schools in the United States
Clinton Liberal Institute,https://en.wikipedia.org/wiki/Clinton_Liberal_Institute,54737615,Schools in the United States
Expeditionary learning schools,https://en.wikipedia.org/wiki/Expeditionary_learning_schools,24267175,Schools in the United States
Full-service community schools in the United States,https://en.wikipedia.org/wiki/Full-service_community_schools_in_the_United_States,34066633,Schools in the United States
Headlands Preparatory School,https://en.wikipedia.org/wiki/Headlands_Preparatory_School,78204136,Schools in the United States
Huntsville Female College,https://en.wikipedia.org/wiki/Huntsville_Female_College,72819146,Schools in the United States
Illinois State University College of Arts and Sciences,https://en.wikipedia.org/wiki/Illinois_State_University_College_of_Arts_and_Sciences,82595999,Schools in the United States
Kansas Industrial School for Girls,https://en.wikipedia.org/wiki/Kansas_Industrial_School_for_Girls,72070037,Schools in the United States
National School Choice Week,https://en.wikipedia.org/wiki/National_School_Choice_Week,41842649,Schools in the United States
Nihon Go Gakko (Seattle),https://en.wikipedia.org/wiki/Nihon_Go_Gakko_(Seattle),47986933,Schools in the United States
The Palmdale Aerospace Academy,https://en.wikipedia.org/wiki/The_Palmdale_Aerospace_Academy,41918030,Schools in the United States
Russian Math Tutors,https://en.wikipedia.org/wiki/Russian_Math_Tutors,82788956,Schools in the United States
St. Mary's Mission boarding school,https://en.wikipedia.org/wiki/St._Mary's_Mission_boarding_school,82265322,Schools in the United States
High school in the United States,https://en.wikipedia.org/wiki/High_school_in_the_United_States,54987918,High schools in the United States
NAF (non-profit organization),https://en.wikipedia.org/wiki/NAF_(non-profit_organization),2108379,High schools in the United States
Career and technical education,https://en.wikipedia.org/wiki/Career_and_technical_education,10940898,High schools in the United States
Christchurch School,https://en.wikipedia.org/wiki/Christchurch_School,3313651,High schools in the United States
Christian Heritage School (Connecticut),https://en.wikipedia.org/wiki/Christian_Heritage_School_(Connecticut),4714440,High schools in the United States
CICS Northtown Academy,https://en.wikipedia.org/wiki/CICS_Northtown_Academy,21380127,High schools in the United States
Cono Christian School,https://en.wikipedia.org/wiki/Cono_Christian_School,4696774,High schools in the United States
Create Charter High School,https://en.wikipedia.org/wiki/Create_Charter_High_School,12269980,High schools in the United States
Creston High School (Michigan),https://en.wikipedia.org/wiki/Creston_High_School_(Michigan),13988060,High schools in the United States
Eminence High School,https://en.wikipedia.org/wiki/Eminence_High_School,76238367,High schools in the United States
High School Survey of Student Engagement,https://en.wikipedia.org/wiki/High_School_Survey_of_Student_Engagement,26299397,High schools in the United States
National Association of Secondary School Principals,https://en.wikipedia.org/wiki/National_Association_of_Secondary_School_Principals,13176486,High schools in the United States
Secondary education in the United States,https://en.wikipedia.org/wiki/Secondary_education_in_the_United_States,378405,High schools in the United States
Conant Report,https://en.wikipedia.org/wiki/Conant_Report,68660180,Secondary schools in the United States
Santa Barbara Junior High School,https://en.wikipedia.org/wiki/Santa_Barbara_Junior_High_School,7638979,Middle schools in the United States
Country Day School movement,https://en.wikipedia.org/wiki/Country_Day_School_movement,1616928,Private schools in the United States
Crow Creek Tribal School,https://en.wikipedia.org/wiki/Crow_Creek_Tribal_School,68357688,Private schools in the United States
Independent Schools Association of the Southwest,https://en.wikipedia.org/wiki/Independent_Schools_Association_of_the_Southwest,51223105,Private schools in the United States
Saint Grottlesex,https://en.wikipedia.org/wiki/Saint_Grottlesex,2962603,Private schools in the United States
Spring Education Group,https://en.wikipedia.org/wiki/Spring_Education_Group,63438222,Private schools in the United States
"Fertilizers, Pills & Magnetic Strips","https://en.wikipedia.org/wiki/Fertilizers,_Pills_&_Magnetic_Strips",15885005,Public schools in the United States
Concept Schools,https://en.wikipedia.org/wiki/Concept_Schools,7188421,Charter schools in the United States
Crescent City Schools,https://en.wikipedia.org/wiki/Crescent_City_Schools,39766175,Charter schools in the United States
Educate Now,https://en.wikipedia.org/wiki/Educate_Now,27821200,Charter schools in the United States
Federal Charter School Program,https://en.wikipedia.org/wiki/Federal_Charter_School_Program,33586484,Charter schools in the United States
GEO Academies,https://en.wikipedia.org/wiki/GEO_Academies,8406018,Charter schools in the United States
Graham Elementary and Middle School,https://en.wikipedia.org/wiki/Graham_Elementary_and_Middle_School,8714368,Charter schools in the United States
Horizon Science Academy Columbus High School,https://en.wikipedia.org/wiki/Horizon_Science_Academy_Columbus_High_School,52569792,Charter schools in the United States
KIPP,https://en.wikipedia.org/wiki/KIPP,2406984,Charter schools in the United States
Language/culture-based charter school,https://en.wikipedia.org/wiki/Language/culture-based_charter_school,21163071,Charter schools in the United States
Mater Academy,https://en.wikipedia.org/wiki/Mater_Academy,34507403,Charter schools in the United States
Milburn Schools,https://en.wikipedia.org/wiki/Milburn_Schools,32436139,Charter schools in the United States
Mosaica Education,https://en.wikipedia.org/wiki/Mosaica_Education,32795063,Charter schools in the United States
National Heritage Academies,https://en.wikipedia.org/wiki/National_Heritage_Academies,27145838,Charter schools in the United States
Peltier v. Charter Day School,https://en.wikipedia.org/wiki/Peltier_v._Charter_Day_School,81708619,Charter schools in the United States
SEED Foundation,https://en.wikipedia.org/wiki/SEED_Foundation,28637141,Charter schools in the United States
Somerset Academy Inc.,https://en.wikipedia.org/wiki/Somerset_Academy_Inc.,56435703,Charter schools in the United States
